iter	Passed	Remaining
0	152	76027
1	155	38695
2	158	26245
3	161	19985
4	163	16224
5	166	13728
6	169	11965
7	172	10612
8	175	9551
9	177	8710
10	180	8028
11	183	7450
12	185	6961
13	188	6549
14	191	6184
15	194	5877
16	197	5603
17	200	5361
18	203	5139
19	206	4944
20	209	4780
21	212	4620
22	216	4490
23	219	4354
24	222	4228
25	225	4115
26	228	4008
27	231	3910
28	234	3812
29	238	3729
30	241	3647
31	244	3570
32	247	3501
33	250	3435
34	254	3376
35	257	3319
36	261	3266
37	264	3210
38	267	3163
39	271	3122
40	275	3079
41	278	3035
42	282	3004
43	286	2964
44	289	2924
45	292	2884
46	295	2846
47	298	2812
48	301	2776
49	305	2745
50	308	2712
51	311	2681
52	314	2650
53	317	2626
54	321	2602
55	324	2574
56	327	2548
57	330	2520
58	334	2501
59	338	2478
60	341	2457
61	344	2436
62	348	2415
63	351	2396
64	355	2377
65	358	2359
66	362	2342
67	366	2327
68	372	2325
69	376	2315
70	382	2309
71	388	2307
72	393	2301
73	399	2297
74	403	2288
75	407	2272
76	413	2269
77	419	2268
78	422	2254
79	427	2241
80	430	2229
81	434	2216
82	439	2207
83	443	2195
84	447	2184
85	451	2171
86	454	2158
87	458	2146
88	462	2135
89	465	2122
90	469	2110
91	472	2097
92	477	2087
93	480	2076
94	484	2065
95	488	2054
96	492	2047
97	496	2036
98	500	2028
99	504	2018
100	508	2008
101	512	1999
102	516	1989
103	519	1979
104	523	1969
105	527	1959
106	530	1949
107	535	1942
108	539	1934
109	543	1925
110	546	1916
111	550	1907
112	554	1897
113	558	1889
114	561	1879
115	565	1871
116	569	1863
117	572	1854
118	576	1844
119	579	1835
120	583	1828
121	587	1819
122	590	1809
123	594	1801
124	598	1795
125	601	1786
126	605	1777
127	608	1769
128	612	1761
129	616	1754
130	620	1746
131	623	1738
132	626	1730
133	630	1723
134	634	1715
135	638	1707
136	641	1700
137	645	1693
138	649	1686
139	652	1678
140	656	1670
141	660	1664
142	663	1656
143	666	1648
144	670	1641
145	674	1636
146	678	1629
147	682	1622
148	685	1615
149	689	1608
150	693	1602
151	696	1595
152	700	1589
153	704	1582
154	708	1576
155	712	1570
156	715	1563
157	719	1557
158	724	1553
159	728	1548
160	732	1541
161	735	1535
162	740	1530
163	744	1524
164	748	1518
165	752	1514
166	757	1510
167	761	1504
168	764	1497
169	768	1492
170	774	1489
171	777	1483
172	782	1478
173	786	1474
174	790	1468
175	794	1461
176	797	1455
177	801	1450
178	805	1444
179	809	1438
180	812	1432
181	816	1427
182	820	1421
183	824	1415
184	827	1409
185	831	1404
186	836	1399
187	839	1393
188	843	1387
189	847	1382
190	851	1377
191	855	1371
192	858	1365
193	862	1360
194	866	1355
195	870	1349
196	873	1343
197	878	1339
198	883	1335
199	886	1330
200	891	1325
201	897	1323
202	901	1318
203	905	1313
204	910	1310
205	914	1305
206	918	1299
207	922	1295
208	927	1290
209	931	1285
210	934	1280
211	939	1275
212	943	1271
213	947	1266
214	951	1260
215	955	1256
216	960	1252
217	964	1247
218	968	1242
219	972	1237
220	976	1232
221	980	1227
222	984	1222
223	989	1219
224	994	1214
225	997	1209
226	1002	1206
227	1007	1201
228	1011	1196
229	1015	1192
230	1021	1189
231	1025	1184
232	1030	1180
233	1035	1177
234	1040	1172
235	1044	1168
236	1050	1165
237	1054	1161
238	1059	1156
239	1063	1152
240	1069	1148
241	1073	1144
242	1076	1138
243	1082	1135
244	1089	1133
245	1093	1128
